district,total_cafes,operational_cafes,avg_rating,median_rating,cafes_with_ratings,total_reviews,avg_reviews_per_cafe,excellent_cafes,good_cafes,average_cafes,below_average_cafes,cafes_with_website,cafes_with_phone,avg_price_level,cafe_density_score,pct_with_ratings,pct_excellent,pct_with_website
Centrs,31,30,4.403448275862068,4.4,29,13912.0,479.7241379310345,14,13,2,0,25,30,1.95,31,93.5,45.2,80.6
Teika,28,27,4.303846153846154,4.5,26,4050.0,155.76923076923077,14,6,2,4,17,27,2.0,28,92.9,50.0,60.7
Imanta,18,18,4.006666666666666,4.3,15,2682.0,178.8,4,6,2,3,7,12,2.0,18,83.3,22.2,38.9
Ķengarags,18,17,3.8812500000000005,4.15,16,1001.0,62.5625,4,6,2,4,6,10,2.0,18,88.9,22.2,33.3
Vecrīga,16,15,4.413333333333332,4.5,15,16170.0,1078.0,8,6,1,0,15,16,2.0,16,93.8,50.0,93.8
Torņakalns,16,14,3.7199999999999998,4.1,15,3090.0,206.0,3,7,2,3,8,13,2.0,16,93.8,18.8,50.0
Āgenskalns,14,13,4.5249999999999995,4.55,12,3980.0,331.6666666666667,9,2,1,0,6,10,1.6666666666666667,14,85.7,64.3,42.9
Sarkandaugava,12,11,4.31,4.35,10,1434.0,143.4,4,5,0,1,7,9,2.0,12,83.3,33.3,58.3
Mežaparks,9,9,2.8000000000000003,2.75,8,3883.0,485.375,0,2,0,6,3,2,2.0,9,88.9,0.0,33.3
Šķirotava,9,8,4.475,4.4,8,232.0,29.0,4,3,1,0,1,6,1.0,9,88.9,44.4,11.1
Purvciems,9,9,4.2555555555555555,4.4,9,1361.0,151.22222222222223,4,3,0,2,5,6,1.6666666666666667,9,100.0,44.4,55.6
Ziepniekkalns,8,7,4.0375,4.0,8,1156.0,144.5,3,2,2,1,3,5,2.0,8,100.0,37.5,37.5
Pļavnieki,7,7,4.3,4.5,7,1505.0,215.0,4,2,0,1,5,7,1.5,7,100.0,57.1,71.4
Pleskodāle,7,7,4.214285714285714,4.4,7,260.0,37.142857142857146,3,2,1,1,4,5,2.0,7,100.0,42.9,57.1
Mežciems,6,6,4.283333333333333,4.2,6,527.0,87.83333333333333,2,2,2,0,1,4,2.0,6,100.0,33.3,16.7
Čiekurkalns,6,6,4.44,4.4,5,127.0,25.4,2,3,0,0,0,4,2.0,6,83.3,33.3,0.0
Zolitūde,6,6,4.5,4.4,5,204.0,40.8,2,3,0,0,4,5,2.0,6,83.3,33.3,66.7
Iļģuciems,6,6,4.0600000000000005,4.3,5,328.0,65.6,2,2,0,1,2,4,2.0,6,83.3,33.3,33.3
Dreiliņi,5,5,4.1,4.0,4,2735.0,683.75,1,1,2,0,2,5,2.0,5,80.0,20.0,40.0
Dzirciems,5,5,4.44,4.5,5,1182.0,236.4,3,1,1,0,4,5,1.3333333333333333,5,100.0,60.0,80.0
Bieriņi,4,3,4.475,4.55,4,930.0,232.5,3,1,0,0,2,3,2.0,4,100.0,75.0,50.0
Atgāzene,4,4,4.5,4.5,3,180.0,60.0,2,1,0,0,2,3,1.0,4,75.0,50.0,50.0
Mangaļsala,4,1,4.75,4.75,4,533.0,133.25,4,0,0,0,1,3,,4,100.0,100.0,25.0
Vecmīlgrāvis,4,3,3.525,3.45,4,451.0,112.75,0,1,1,2,1,2,1.5,4,100.0,0.0,25.0
Rumbula,4,3,4.4,4.4,4,462.0,115.5,2,2,0,0,2,2,2.0,4,100.0,50.0,50.0
Avoti,3,2,4.633333333333333,4.7,3,1863.0,621.0,3,0,0,0,2,3,1.5,3,100.0,100.0,66.7
Berģi,3,3,4.7,4.8,3,1351.0,450.3333333333333,2,1,0,0,1,3,2.0,3,100.0,66.7,33.3
Brasa,3,2,4.733333333333333,4.8,3,220.0,73.33333333333333,3,0,0,0,1,3,,3,100.0,100.0,33.3
Bolderāja,3,3,4.25,4.25,2,750.0,375.0,1,1,0,0,1,2,2.0,3,66.7,33.3,33.3
Dārzciems,3,2,4.633333333333334,4.5,3,319.0,106.33333333333333,2,1,0,0,1,3,1.0,3,100.0,66.7,33.3
Skanste,3,3,4.433333333333334,4.3,3,151.0,50.333333333333336,1,2,0,0,2,3,2.0,3,100.0,33.3,66.7
Daugavgrīva,2,2,4.35,4.35,2,216.0,108.0,0,2,0,0,0,1,,2,100.0,0.0,0.0
Vecāķi,2,0,4.0,4.0,1,236.0,236.0,0,1,0,0,2,2,,2,50.0,0.0,100.0
Katlakalns,2,2,4.449999999999999,4.449999999999999,2,74.0,37.0,1,1,0,0,1,1,,2,100.0,50.0,50.0
Beberbeķi,1,1,4.5,4.5,1,1380.0,1380.0,1,0,0,0,1,1,2.0,1,100.0,100.0,100.0
Brekši,1,1,4.7,4.7,1,3.0,3.0,1,0,0,0,0,1,,1,100.0,100.0,0.0
Bukulti,1,1,4.6,4.6,1,31.0,31.0,1,0,0,0,1,1,,1,100.0,100.0,100.0
Kleisti,1,1,5.0,5.0,1,2.0,2.0,1,0,0,0,0,1,,1,100.0,100.0,0.0
Grīziņkalns,1,1,4.6,4.6,1,211.0,211.0,1,0,0,0,1,1,2.0,1,100.0,100.0,100.0
Spilve,1,1,4.5,4.5,1,87.0,87.0,1,0,0,0,1,1,,1,100.0,100.0,100.0
Vecdaugava,1,1,3.9,3.9,1,101.0,101.0,0,0,1,0,1,1,,1,100.0,0.0,100.0
Trīsciems,1,1,4.4,4.4,1,585.0,585.0,0,1,0,0,0,1,2.0,1,100.0,0.0,0.0
Zasulauks,1,1,4.2,4.2,1,137.0,137.0,0,1,0,0,1,1,2.0,1,100.0,0.0,100.0
Ķīpsala,1,1,3.1,3.1,1,76.0,76.0,0,0,0,1,1,1,2.0,1,100.0,0.0,100.0
